Temperature,Humidity,Light,CO2,PIR,Microphone,noise_mean,noise_min,co2_mean,co2_delta,co2_delta_mean,co2_variance,light_mean,light_variance,light_std,light_delta,temp_mean,humidity_mean,temp_delta,pir_sum,pir_max,pir_rolling_mean,hour
21.1,45.9,806,400,0,0.0010430107,0.00116254304,0.0010430107,400.0,0.0,0.0,0.0,807.6,1.299999999999926,1.1401754250991056,-1.0,21.080000000000002,45.9,0.0,0.0,0.0,0.0,0
21.1,45.7,102,400,1,0.0,0.0012212512999999997,0.0,400.0,0.0,0.0,0.0,98.6,10.800000000000058,3.2863353450310053,7.0,21.1,45.7,0.0,3.0,1.0,0.6,0
21.4,45.3,103,400,0,0.0045213387,0.005479236739999999,0.00195037,400.0,0.0,0.0,0.0,100.2,11.199999999999623,3.346640106136246,7.0,21.4,45.3,0.0,0.0,0.0,0.0,1
21.5,45.1,111,400,1,0.014045406,0.014978966800000002,0.012233999,400.0,0.0,0.0,0.0,114.0,5.499999999999414,2.3452078799115896,-1.0,21.639999999999997,44.9,-0.1999999999999993,5.0,1.0,1.0,12
21.3,45.4,98,400,0,0.0021175866,0.0033755432600000015,0.0020697266,400.0,0.0,0.0,0.0,101.6,12.799999999999596,3.577708763999607,-8.0,21.3,45.38,0.0,0.0,0.0,0.0,1
21.4,45.4,97,400,0,0.0035790442,0.0024227930399999993,0.0015505519,400.0,0.0,0.0,0.0,100.4,10.799999999999603,3.286335345030936,-7.0,21.4,45.38,0.0,0.0,0.0,0.0,1
21.1,45.8,811,400,0,0.001191637,0.00118041954,0.00101526,400.0,0.0,0.0,0.0,811.0,0.0,0.0,0.0,21.1,45.82,0.0,0.0,0.0,0.0,0
21.1,45.8,811,400,0,0.001246492,0.0014309780599999998,0.001246492,400.0,0.0,0.0,0.0,811.0,0.0,0.0,0.0,21.1,45.779999999999994,0.0,0.0,0.0,0.0,0
21.4,45.3,105,400,0,0.014123665,0.009259095919999998,0.0018049633,400.0,0.0,0.0,0.0,100.4,18.799999999999642,4.335896677735718,8.0,21.4,45.3,0.0,0.0,0.0,0.0,1
21.1,45.6,98,400,0,2.059677e-05,1.1390673199999978e-05,0.0,400.0,0.0,0.0,0.0,99.6,8.299999999999988,2.880972058177585,-5.0,21.119999999999997,45.6,0.0,0.0,0.0,0.0,0
21.3,44.9,111,400,1,0.01624257,0.016710198400000004,0.012232446,400.0,0.0,0.0,0.0,112.4,4.299999999999397,2.0736441353326267,-4.0,21.6,44.92,-0.3000000000000007,3.0,1.0,0.6,12
21.3,44.6,114,400,0,0.017526707,0.016269337000000002,0.014425312,400.0,0.0,0.0,0.0,116.0,9.999999999999536,3.162277660168306,2.0,21.58,44.92,-0.09999999999999787,3.0,1.0,0.6,12
21.3,45.2,103,400,0,0.020374767,0.0200613028,0.017179327,400.0,0.0,0.0,0.0,99.2,9.69999999999943,3.1144823004793962,1.0,21.1,44.9,0.10000000000000142,1.0,1.0,0.2,12
21.4,45.3,106,400,1,0.016803317,0.014581848400000003,0.012233999,400.0,0.0,0.0,0.0,110.4,6.299999999999433,2.509980079602114,-6.0,21.639999999999997,45.08,-0.3000000000000007,5.0,1.0,1.0,12
21.1,45.2,100,400,0,0.01296528,0.012128248000000003,0.010297175,400.0,0.0,0.0,0.0,101.8,11.69999999999958,3.4205262752973526,-3.0,21.06,45.1,0.10000000000000142,1.0,1.0,0.2,12
21.3,45.4,96,400,0,0.0056384676,0.004678884739999999,0.0021198809,400.0,0.0,0.0,0.0,100.2,16.69999999999962,4.086563348340463,-5.0,21.34,45.44,0.0,0.0,0.0,0.0,1
21.3,45.2,103,400,0,0.0034359272,0.003108565420000003,0.0023508992,400.0,0.0,0.0,0.0,102.0,14.499999999999563,3.8078865529318966,5.0,21.3,45.160000000000004,0.0,0.0,0.0,0.0,1
21.5,44.8,109,400,0,0.025668405,0.024987492800000004,0.02178664,400.0,0.0,0.0,0.0,107.8,9.699999999999404,3.114482300479392,-2.0,21.479999999999997,45.1,-0.10000000000000142,2.0,1.0,0.4,12
21.3,45.5,102,400,0,0.0021349108,0.006570345799999999,0.0021349108,400.0,0.0,0.0,0.0,100.2,9.69999999999959,3.1144823004794215,5.0,21.3,45.46,0.0,0.0,0.0,0.0,1
21.0,44.7,107,400,1,0.018203052,0.017921959800000005,0.016444309,400.0,0.0,0.0,0.0,101.8,25.6999999999995,5.069516742254581,1.0,20.939999999999998,44.94,0.0,1.0,1.0,0.2,12
21.3,45.5,96,400,0,0.0017933038,0.0025262932199999993,0.0016700891,400.0,0.0,0.0,0.0,99.8,14.199999999999587,3.7682887362832997,-7.0,21.3,45.48,0.0,0.0,0.0,0.0,1
21.7,45.5,97,400,0,0.0268,0.0312004,0.0268,400.0,0.0,0.0,0.0,101.4,7.299999999999554,2.7018512172211766,-7.0,21.66,45.5,0.0,0.0,0.0,0.0,14
20.9,45.4,100,400,0,0.0268,0.027440000000000003,0.0216,400.0,0.0,0.0,0.0,101.4,14.299999999999564,3.7815340802377495,4.0,21.060000000000002,45.379999999999995,-0.10000000000000142,1.0,1.0,0.2,14
21.0,45.2,108,400,1,0.012821298,0.011384159500000003,0.009794467,400.0,0.0,0.0,0.0,100.8,16.699999999999566,4.086563348340457,8.0,21.080000000000002,45.12,-0.1999999999999993,3.0,1.0,0.6,12
21.3,45.2,103,400,0,0.0016586055,0.002970106680000003,0.0016586055,400.0,0.0,0.0,0.0,101.6,12.299999999999566,3.5071355833499744,0.0,21.3,45.160000000000004,0.0,0.0,0.0,0.0,1
21.1,44.9,105,400,1,0.015734622,0.0166742816,0.012326975,400.0,0.0,0.0,0.0,106.8,23.199999999999424,4.816637831516858,1.0,21.5,44.839999999999996,-0.5999999999999979,3.0,1.0,0.6,12
21.5,45.0,103,400,1,0.013306272,0.016630254000000004,0.013306272,400.0,0.0,0.0,0.0,106.2,12.699999999999427,3.563705936241012,-9.0,21.5,44.9,0.0,4.0,1.0,0.8,12
21.1,45.9,812,400,0,0.0012605924,0.00133120964,0.0012218759,400.0,0.0,0.0,0.0,812.8,0.19999999999970441,0.44721359549962747,-1.0,21.1,45.9,0.0,0.0,0.0,0.0,0
21.3,45.3,98,400,0,0.002237507,0.002878436620000003,0.0019906033,400.0,0.0,0.0,0.0,101.2,6.699999999999616,2.5884358211088827,-7.0,21.3,45.3,0.0,0.0,0.0,0.0,1
21.1,44.8,104,400,0,0.0176653,0.0168232402,0.014750584,400.0,0.0,0.0,0.0,100.2,6.699999999999388,2.5884358211088387,4.0,21.060000000000002,44.959999999999994,0.10000000000000142,4.0,1.0,0.8,12
21.1,45.9,811,400,0,0.0012995384,0.00146877462,0.0012343498,400.0,0.0,0.0,0.0,811.6,0.29999999999970584,0.5477225575048976,0.0,21.1,45.879999999999995,0.0,0.0,0.0,0.0,0
21.1,45.8,95,400,0,0.0,5.4847509400000004e-05,0.0,400.0,0.0,0.0,0.0,97.8,6.699999999999984,2.5884358211089538,-5.0,21.1,45.739999999999995,0.0,0.0,0.0,0.0,0
21.3,45.0,101,400,1,0.020477325,0.019890094800000004,0.014454163,400.0,0.0,0.0,0.0,101.6,13.799999999999446,3.7148351242012674,-2.0,21.12,44.96,0.40000000000000213,3.0,1.0,0.6,12
21.3,44.9,110,400,1,0.014160056,0.016785941000000006,0.014160056,400.0,0.0,0.0,0.0,110.8,8.699999999999534,2.949576240750446,3.0,21.6,45.06,-0.3999999999999986,2.0,1.0,0.4,12
21.0,44.7,106,400,1,0.01863299,0.018118968000000003,0.015041497,400.0,0.0,0.0,0.0,102.6,7.799999999999495,2.792848008753698,6.0,21.02,44.94,0.10000000000000142,2.0,1.0,0.4,12
21.1,44.8,108,400,0,0.015083809,0.016775117400000004,0.014559998,400.0,0.0,0.0,0.0,100.6,20.799999999999493,4.560701700396496,12.0,21.060000000000002,45.059999999999995,0.0,1.0,1.0,0.2,12
21.0,45.0,105,400,0,0.017629504,0.016468343200000003,0.014797375,400.0,0.0,0.0,0.0,104.2,3.199999999999391,1.7888543819996614,2.0,21.080000000000002,44.88,0.0,1.0,1.0,0.2,12
21.3,45.6,98,400,0,0.0051477123,0.0124087025,0.0029056678,400.0,0.0,0.0,0.0,101.0,10.49999999999957,3.2403703492038636,-5.0,21.3,45.620000000000005,0.0,0.0,0.0,0.0,1
21.2,45.3,100,400,0,0.0284,0.026940000000000002,0.0215,400.0,0.0,0.0,0.0,100.6,4.799999999999552,2.190890230020562,-4.0,21.32,45.3,-0.10000000000000142,1.0,1.0,0.2,14
21.2,45.3,103,400,0,0.0183,0.0187,0.0168,400.0,0.0,0.0,0.0,99.6,9.299999999999553,3.049590136395308,1.0,21.2,45.3,-0.10000000000000142,0.0,0.0,0.0,14
21.6,44.9,115,400,1,0.018483482,0.014911288500000003,0.0118283015,400.0,0.0,0.0,0.0,108.4,21.799999999999436,4.669047011971441,12.0,21.48,44.96,0.20000000000000284,2.0,1.0,0.4,12
21.1,45.9,811,400,0,0.0011565964,0.0012704848,0.0011565964,400.0,0.0,0.0,0.0,811.4,0.29999999999970584,0.5477225575048976,0.0,21.1,45.9,0.0,0.0,0.0,0.0,0
21.3,45.4,99,400,0,0.0020301102,0.0068497236199999995,0.0020301102,400.0,0.0,0.0,0.0,99.4,10.799999999999585,3.2863353450309334,2.0,21.3,45.48,0.0,0.0,0.0,0.0,1
21.1,45.4,103,400,1,0.01105739,0.010449802000000003,0.009023635,400.0,0.0,0.0,0.0,102.6,7.299999999999596,2.7018512172211846,5.0,21.02,45.1,0.20000000000000284,2.0,1.0,0.4,12
21.3,45.3,99,400,0,0.0022926566,0.005164891340000002,0.0022926566,400.0,0.0,0.0,0.0,100.8,9.69999999999964,3.1144823004794295,-1.0,21.3,45.3,0.0,0.0,0.0,0.0,1
21.3,45.9,99,400,0,0.019525055,0.0065074856200000005,0.002076261,400.0,0.0,0.0,0.0,101.2,8.699999999999548,2.9495762407504484,-1.0,21.3,45.9,0.0,0.0,0.0,0.0,1
21.1,45.9,813,400,0,0.0009598047,0.0010506935400000001,0.0009268625,400.0,0.0,0.0,0.0,813.0,0.0,0.0,0.0,21.080000000000002,45.9,0.10000000000000142,0.0,0.0,0.0,0
21.3,45.2,98,400,0,0.0025125311,0.009633120640000003,0.0025125311,400.0,0.0,0.0,0.0,101.2,13.19999999999962,3.6331804249169375,-8.0,21.3,45.279999999999994,0.0,1.0,1.0,0.2,1
21.1,44.9,104,400,0,0.010993395,0.013161270000000003,0.010993395,400.0,0.0,0.0,0.0,100.4,9.299999999999574,3.0495901363953113,4.0,21.060000000000002,45.08,0.0,2.0,1.0,0.4,12
21.1,45.6,99,400,0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,99.2,7.2,2.6832815729997477,-3.0,21.1,45.6,0.0,0.0,0.0,0.0,0
21.1,45.7,95,400,0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,98.4,9.299999999999965,3.0495901363953757,-6.0,21.1,45.720000000000006,0.0,0.0,0.0,0.0,0
21.3,45.4,98,400,0,0.0021481893,0.0035938383000000016,0.0020038874,400.0,0.0,0.0,0.0,101.4,12.799999999999596,3.577708763999607,-6.0,21.3,45.379999999999995,0.0,0.0,0.0,0.0,1
21.2,45.3,99,400,0,0.0198,0.025,0.0198,400.0,0.0,0.0,0.0,102.2,8.699999999999552,2.9495762407504493,-5.0,21.2,45.3,0.09999999999999787,0.0,0.0,0.0,14
21.2,45.4,102,400,0,0.018663792,0.018237629,0.017133566,400.0,0.0,0.0,0.0,100.8,19.699999999999484,4.438468204234371,3.0,21.119999999999997,45.2,0.1999999999999993,1.0,1.0,0.2,12
