"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.265512030E-1,-9.205188751E0,-4.299902439E0,8.870193481E0,1.348721592E1
5.289561510E-1,-9.332008362E0,-4.362115860E0,8.669196129E0,1.346363236E1
5.313610990E-1,-9.391828537E0,-4.448257446E0,8.463413239E0,1.340234312E1
5.337659950E-1,-9.432506561E0,-4.512863636E0,8.279166222E0,1.333726777E1
5.361709430E-1,-9.456435204E0,-4.599005222E0,8.130811691E0,1.329229531E1
5.385758910E-1,-9.458827972E0,-4.689932346E0,8.018348694E0,1.325740577E1
5.409807870E-1,-9.413364410E0,-4.771288395E0,7.934599876E0,1.320357897E1
5.433857350E-1,-9.367900848E0,-4.840680122E0,7.834101200E0,1.313631957E1
5.457906830E-1,-9.286544800E0,-4.902893543E0,7.762316704E0,1.305878402E1
5.481956310E-1,-9.198010445E0,-4.965106964E0,7.733603001E0,1.300247279E1
5.506005780E-1,-9.092725754E0,-4.991427898E0,7.707281590E0,1.292262371E1
5.530054740E-1,-8.975478172E0,-5.024927616E0,7.690532207E0,1.284341822E1
5.554104220E-1,-8.851051331E0,-5.046463013E0,7.673782349E0,1.275518852E1
5.578153700E-1,-8.726624489E0,-5.065605640E0,7.678567886E0,1.267969796E1
5.602202660E-1,-8.592626572E0,-5.089533806E0,7.668996811E0,1.259166779E1
5.626252140E-1,-8.470592499E0,-5.101497650E0,7.680960655E0,1.252091738E1
5.650301620E-1,-8.329415321E0,-5.103890896E0,7.678567886E0,1.242534775E1
5.674351100E-1,-8.204988480E0,-5.099104881E0,7.678567886E0,1.234030434E1
5.698400060E-1,-8.104490280E0,-5.096712112E0,7.678567886E0,1.227271942E1
5.722449530E-1,-8.030312538E0,-5.089533806E0,7.676175117E0,1.221936734E1
5.746499010E-1,-7.970492363E0,-5.091926575E0,7.678567886E0,1.218264625E1
5.770548490E-1,-7.951349735E0,-5.079962254E0,7.676175117E0,1.216361967E1
5.794597450E-1,-7.960920811E0,-5.063212872E0,7.671389580E0,1.215987676E1
5.818646930E-1,-8.030312538E0,-5.039284706E0,7.685746193E0,1.220454851E1
5.842696410E-1,-8.109275818E0,-5.015356064E0,7.668996811E0,1.223632554E1
5.866745890E-1,-8.190631866E0,-5.005784988E0,7.647460938E0,1.227305962E1
5.890794850E-1,-8.286344528E0,-4.977071285E0,7.621140003E0,1.230920465E1
5.914844330E-1,-8.374878883E0,-4.957928658E0,7.580461979E0,1.233624970E1
5.938893810E-1,-8.487341881E0,-4.907679081E0,7.527820110E0,1.236075895E1
5.962943280E-1,-8.583054543E0,-4.905286312E0,7.451249599E0,1.237949028E1
5.986992240E-1,-8.690732002E0,-4.900500774E0,7.372286797E0,1.240541588E1
6.011041720E-1,-8.784051895E0,-4.888536453E0,7.269395351E0,1.240570293E1
6.035091200E-1,-8.872586250E0,-4.876572609E0,7.147361279E0,1.239308357E1
6.059140680E-1,-8.932407379E0,-4.890929699E0,7.025327206E0,1.237191647E1
6.083189640E-1,-8.980263710E0,-4.912465096E0,6.908079147E0,1.234904883E1
6.107239120E-1,-8.970691681E0,-4.924428940E0,6.783652306E0,1.227767275E1
6.131288600E-1,-8.975478172E0,-4.922036171E0,6.675975323E0,1.222105949E1
6.155338080E-1,-8.956335068E0,-4.936393261E0,6.563512325E0,1.215169166E1
6.179387030E-1,-8.891729355E0,-4.953142643E0,6.455835342E0,1.205297818E1
6.203436510E-1,-8.839086533E0,-4.957928658E0,6.355337143E0,1.196247539E1
6.227485990E-1,-8.762516975E0,-4.969892502E0,6.264409542E0,1.186272996E1
6.251535470E-1,-8.647661209E0,-4.979464054E0,6.180660725E0,1.173787347E1
6.275584430E-1,-8.537590981E0,-5.000999451E0,6.116054535E0,1.163213559E1
6.299633910E-1,-8.420342445E0,-5.022534847E0,6.029912949E0,1.151033767E1
6.323683390E-1,-8.291130066E0,-5.041677475E0,5.941378593E0,1.137810745E1
6.347732870E-1,-8.164310455E0,-5.041677475E0,5.860022545E0,1.124341324E1
6.371781830E-1,-8.051848412E0,-5.053641319E0,5.783452511E0,1.112743800E1
6.395831310E-1,-7.944170952E0,-5.079962254E0,5.716453075E0,1.102695354E1
6.419880780E-1,-7.829315662E0,-5.079962254E0,5.635097504E0,1.090222565E1
6.443929740E-1,-7.719245911E0,-5.094319344E0,5.546562672E0,1.078439634E1
6.467979220E-1,-7.625925541E0,-5.094319344E0,5.472385406E0,1.067959887E1
6.492028700E-1,-7.556533813E0,-5.103890896E0,5.393422127E0,1.059433376E1
6.516078180E-1,-7.494320393E0,-5.127819061E0,5.324030399E0,1.052637954E1
6.540127140E-1,-7.463213921E0,-5.130211830E0,5.252245903E0,1.046922741E1
6.564176620E-1,-7.420143127E0,-5.151747227E0,5.192425251E0,1.041922759E1
6.588226100E-1,-7.401000500E0,-5.168497086E0,5.139782906E0,1.038775909E1
6.612275580E-1,-7.396214962E0,-5.194818020E0,5.051248550E0,1.035399642E1
6.636324530E-1,-7.377072334E0,-5.230710506E0,4.993820667E0,1.033052629E1
6.660374010E-1,-7.372286797E0,-5.242674351E0,4.917250633E0,1.029638775E1
6.684423490E-1,-7.336394310E0,-5.266602516E0,4.838287354E0,1.024542864E1
6.708472450E-1,-7.307680130E0,-5.292923450E0,4.759324074E0,1.020139173E1
6.732521930E-1,-7.293323517E0,-5.295316696E0,4.649254322E0,1.014142557E1
6.756571410E-1,-7.269395351E0,-5.319244862E0,4.551148891E0,1.009214699E1
6.780620890E-1,-7.252645493E0,-5.338387489E0,4.431507587E0,1.003680762E1
6.804670370E-1,-7.247859955E0,-5.364708424E0,4.302295208E0,9.991061728E0
6.828719330E-1,-7.235895634E0,-5.379065514E0,4.204189301E0,9.948253068E0
6.852768810E-1,-7.228717327E0,-5.398207664E0,4.094119549E0,9.907412128E0
6.876818280E-1,-7.235895634E0,-5.431707382E0,3.957728624E0,9.875487156E0
6.900867240E-1,-7.226324558E0,-5.462814331E0,3.826123476E0,9.833683333E0
6.924916720E-1,-7.216753006E0,-5.520241737E0,3.704089403E0,9.811975902E0
6.948966200E-1,-7.231110096E0,-5.563312531E0,3.591626883E0,9.805059061E0
6.973015680E-1,-7.250252724E0,-5.625525951E0,3.471985579E0,9.811594704E0
6.997064640E-1,-7.247859955E0,-5.673382282E0,3.342773199E0,9.792490649E0
7.021114120E-1,-7.250252724E0,-5.757131100E0,3.242274761E0,9.809335792E0
7.045163600E-1,-7.247859955E0,-5.850451469E0,3.146561861E0,9.831587251E0
7.069212560E-1,-7.243073940E0,-5.907878876E0,3.072384357E0,9.838937877E0
7.093262030E-1,-7.243073940E0,-5.974878311E0,3.002992392E0,9.857953857E0
7.117311510E-1,-7.219145775E0,-6.049055576E0,2.943171740E0,9.867593373E0
7.141360990E-1,-7.209574699E0,-6.123233318E0,2.883351326E0,9.888663635E0
7.165409950E-1,-7.161718369E0,-6.204588890E0,2.864208698E0,9.899031506E0
7.189459430E-1,-7.159325123E0,-6.281159401E0,2.849851847E0,9.941355802E0
7.213508910E-1,-7.159325123E0,-6.369693756E0,2.845066071E0,9.996166050E0
7.237558390E-1,-7.156932354E0,-6.429514408E0,2.861815929E0,1.003744622E1
7.261607350E-1,-7.209574699E0,-6.494120598E0,2.890529871E0,1.012456086E1
7.285656830E-1,-7.302894592E0,-6.553941250E0,2.926422119E0,1.023964656E1
7.309706310E-1,-7.393822193E0,-6.604190350E0,2.983849764E0,1.035312978E1
7.333755780E-1,-7.527820110E0,-6.690331936E0,3.043670416E0,1.052105254E1
7.357804740E-1,-7.649854183E0,-6.745367050E0,3.108276606E0,1.066215875E1
7.381854220E-1,-7.779066563E0,-6.807580471E0,3.187239647E0,1.081737145E1
7.405903700E-1,-7.901100159E0,-6.833901405E0,3.278167009E0,1.094878857E1
7.429953180E-1,-8.015955925E0,-6.860222340E0,3.395415306E0,1.108363862E1
7.454002140E-1,-8.159524918E0,-6.905686378E0,3.483949661E0,1.124296475E1
7.478051620E-1,-8.262416840E0,-6.927221775E0,3.594019651E0,1.136533813E1
7.502101100E-1,-8.358129501E0,-6.939185619E0,3.684946775E0,1.147124486E1
