"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.069644990E-1,-4.716253281E0,3.775874138E0,7.422535896E0,9.570491609E0
3.093693430E-1,-4.677968502E0,3.778266907E0,7.489534855E0,9.604781230E0
3.117741870E-1,-4.642076015E0,3.775874138E0,7.549355507E0,9.633216691E0
3.141789780E-1,-4.646861553E0,3.778266907E0,7.578069210E0,9.658972827E0
3.165838220E-1,-4.625326157E0,3.823730469E0,7.587640762E0,9.674029620E0
3.189886660E-1,-4.615755081E0,3.859622955E0,7.613961697E0,9.704344236E0
3.213935100E-1,-4.601397991E0,3.854837179E0,7.633104324E0,9.710659853E0
3.237983530E-1,-4.589433670E0,3.842873096E0,7.642675400E0,9.707783594E0
3.262031970E-1,-4.548755646E0,3.823730469E0,7.654639721E0,9.690490281E0
3.286080410E-1,-4.529613495E0,3.806980848E0,7.676175117E0,9.691963992E0
3.310128850E-1,-4.481756687E0,3.799802303E0,7.690532207E0,9.678270826E0
3.334177280E-1,-4.455435753E0,3.816552162E0,7.647460938E0,9.638497650E0
3.358225720E-1,-4.462614059E0,3.835694790E0,7.585247993E0,9.600180513E0
3.382273640E-1,-4.479363918E0,3.842873096E0,7.515855789E0,9.556174077E0
3.406322080E-1,-4.488935471E0,3.809373617E0,7.429714203E0,9.479584493E0
3.430370510E-1,-4.472185612E0,3.799802303E0,7.317251682E0,9.379824832E0
3.454418950E-1,-4.431507587E0,3.802195072E0,7.290930748E0,9.340910985E0
3.478467390E-1,-4.390829563E0,3.780659676E0,7.305287361E0,9.324161907E0
3.502515830E-1,-4.326223373E0,3.735196114E0,7.267002583E0,9.245389403E0
3.526564260E-1,-4.240081787E0,3.728017569E0,7.200003147E0,9.149669605E0
3.550612700E-1,-4.180261135E0,3.720839262E0,7.200003147E0,9.119170647E0
3.574661140E-1,-4.134797573E0,3.725624800E0,7.190432072E0,9.092807295E0
3.598709580E-1,-4.084548473E0,3.718446493E0,7.070790768E0,8.972539364E0
3.622757490E-1,-4.031906128E0,3.713660717E0,7.001399040E0,8.891970055E0
3.646805930E-1,-3.967299938E0,3.716053486E0,6.984649181E0,8.850641022E0
3.670854370E-1,-3.907479286E0,3.723232031E0,6.936792850E0,8.789194854E0
3.694902800E-1,-3.821337700E0,3.713660717E0,6.829115868E0,8.662027550E0
3.718951240E-1,-3.694518089E0,3.711267948E0,6.762116909E0,8.552730487E0
3.742999680E-1,-3.558127165E0,3.711267948E0,6.750152588E0,8.485183479E0
3.767048120E-1,-3.388236761E0,3.720839262E0,6.685546398E0,8.367874509E0
3.791096550E-1,-3.227917671E0,3.761517286E0,6.585047722E0,8.242045759E0
3.815144990E-1,-3.084348440E0,3.806980848E0,6.496513367E0,8.137013851E0
3.839193430E-1,-2.957528830E0,3.840480328E0,6.388836384E0,8.019569581E0
3.863241870E-1,-2.883351326E0,3.838087559E0,6.252445698E0,7.882747502E0
3.887289780E-1,-2.790031195E0,3.826123476E0,6.151947021E0,7.763372146E0
3.911338220E-1,-2.734996319E0,3.759124279E0,6.053841114E0,7.632837771E0
3.935386660E-1,-2.677568436E0,3.689732552E0,5.874379635E0,7.435847976E0
3.959435100E-1,-2.600998163E0,3.637090445E0,5.632704735E0,7.191730041E0
3.983483530E-1,-2.610569477E0,3.605983734E0,5.407779217E0,7.004446284E0
4.007531970E-1,-2.679961443E0,3.613162279E0,5.218746185E0,6.890025162E0
4.031580410E-1,-2.816352367E0,3.670589924E0,5.053641319E0,6.851595554E0
4.055628850E-1,-2.998206854E0,3.744767427E0,4.962714195E0,6.902250329E0
4.079677280E-1,-3.239881754E0,3.871587038E0,4.984249592E0,7.094276846E0
4.103725720E-1,-3.462414265E0,3.984049797E0,5.096712112E0,7.337400063E0
4.127773640E-1,-3.632304668E0,4.077369690E0,5.247459888E0,7.573269840E0
4.151822080E-1,-3.720839262E0,4.146761417E0,5.343173027E0,7.719441240E0
4.175870510E-1,-3.773481369E0,4.132404804E0,5.496313572E0,7.843812465E0
4.199918950E-1,-3.763910055E0,4.118047714E0,5.697310925E0,7.974000731E0
4.223967390E-1,-3.704089403E0,4.065405846E0,5.883950710E0,8.054109445E0
4.248015830E-1,-3.646661758E0,3.974478483E0,6.068198204E0,8.118968570E0
4.272064260E-1,-3.586841106E0,3.859622955E0,6.228517532E0,8.158219728E0
4.296112700E-1,-3.503092289E0,3.778266907E0,6.422336102E0,8.233672170E0
4.320161140E-1,-3.471985579E0,3.701696634E0,6.608976364E0,8.332815275E0
4.344293430E-1,-3.440878868E0,3.639483213E0,6.731009960E0,8.389992880E0
4.368258010E-1,-3.414557934E0,3.548556089E0,6.843472958E0,8.431167080E0
4.392306450E-1,-3.400201082E0,3.486342669E0,6.936792850E0,8.475555890E0
4.416354370E-1,-3.445664644E0,3.378665686E0,7.022934437E0,8.521126379E0
4.440402800E-1,-3.479164124E0,3.314059258E0,7.094718933E0,8.568699347E0
4.464451240E-1,-3.517449379E0,3.280559778E0,7.164111137E0,8.628963494E0
4.488499680E-1,-3.529413462E0,3.223132133E0,7.231110096E0,8.668004001E0
4.512548120E-1,-3.570091486E0,3.187239647E0,7.290930748E0,8.721337108E0
4.536596550E-1,-3.613162279E0,3.170490026E0,7.350750923E0,8.782965775E0
4.560644990E-1,-3.591626883E0,3.125026464E0,7.398607731E0,8.798009458E0
4.584693430E-1,-3.610769272E0,3.113062143E0,7.463213921E0,8.855979487E0
4.608741870E-1,-3.625126362E0,3.065205812E0,7.506284714E0,8.881516651E0
4.632790300E-1,-3.625126362E0,3.024527788E0,7.546962738E0,8.902019774E0
4.656838220E-1,-3.601198196E0,3.002992392E0,7.585247993E0,8.917543321E0
4.680886660E-1,-3.596412420E0,3.000599623E0,7.637889862E0,8.959639610E0
4.704935100E-1,-3.608376503E0,2.993421078E0,7.685746193E0,9.002868725E0
4.728983530E-1,-3.617947817E0,2.998206854E0,7.707281590E0,9.026681574E0
4.753031970E-1,-3.682554007E0,2.995813847E0,7.716853142E0,9.060128422E0
4.777080410E-1,-3.761517286E0,3.007778168E0,7.700103283E0,9.082253705E0
4.801128850E-1,-3.852444410E0,3.017349243E0,7.647460938E0,9.079062902E0
4.825177280E-1,-3.938585997E0,2.974278450E0,7.594819069E0,9.057597288E0
4.849225720E-1,-4.060619831E0,2.933600664E0,7.518248558E0,9.034307259E0
4.873274160E-1,-4.197010994E0,2.864208698E0,7.415357590E0,8.989222488E0
4.897322600E-1,-4.369294167E0,2.801995277E0,7.283751965E0,8.943989699E0
4.921371030E-1,-4.500899315E0,2.730210543E0,7.166503906E0,8.892183224E0
4.945418950E-1,-4.644468784E0,2.651247501E0,7.082755089E0,8.874999901E0
4.969467390E-1,-4.785645485E0,2.555534601E0,6.996613503E0,8.853573307E0
4.993515830E-1,-4.931607246E0,2.467000246E0,6.898507595E0,8.831548408E0
5.017564260E-1,-5.048855782E0,2.356930256E0,6.833901405E0,8.817498134E0
5.041612700E-1,-5.154139996E0,2.222932339E0,6.745367050E0,8.775338393E0
5.065661140E-1,-5.237888813E0,2.105684042E0,6.678368092E0,8.744711823E0
5.089709580E-1,-5.307280540E0,1.988435626E0,6.649653912E0,8.737219244E0
5.113758010E-1,-5.352744102E0,1.864008784E0,6.692724705E0,8.770345612E0
5.137806450E-1,-5.345565796E0,1.770688772E0,6.771687984E0,8.807165865E0
5.161854890E-1,-5.268995285E0,1.684547186E0,6.905686378E0,8.848079729E0
5.185903330E-1,-5.170889854E0,1.600798368E0,7.087540627E0,8.918177473E0
5.209951760E-1,-5.024927616E0,1.555334687E0,7.288537979E0,8.988423077E0
5.233999680E-1,-4.859822750E0,1.526620865E0,7.475177765E0,9.045812901E0
5.258048120E-1,-4.709074974E0,1.536192179E0,7.664210796E0,9.125535636E0
5.282096550E-1,-4.563112736E0,1.584048629E0,7.846065521E0,9.213682872E0
5.306144990E-1,-4.412364960E0,1.670190215E0,7.989634991E0,9.278618818E0
5.330193430E-1,-4.302295208E0,1.763510346E0,8.075776100E0,9.318684050E0
5.354241870E-1,-4.185046673E0,1.840080619E0,8.173882484E0,9.365514786E0
5.378290300E-1,-4.096512318E0,1.921436548E0,8.257631302E0,9.416039841E0
5.402338740E-1,-4.015156269E0,2.012363911E0,8.300702095E0,9.437835750E0
5.426387180E-1,-3.955335855E0,2.084148407E0,8.353343964E0,9.474529629E0
5.450435620E-1,-3.917050600E0,2.120040894E0,8.372486115E0,9.483479453E0
5.474484050E-1,-3.909872293E0,2.132004976E0,8.358129501E0,9.470526666E0
5.498531970E-1,-3.938585997E0,2.127219439E0,8.329415321E0,9.456039435E0
5.522580410E-1,-4.007977962E0,2.143969059E0,8.276773453E0,9.442746924E0
5.546628850E-1,-4.012763500E0,2.160718918E0,8.183453560E0,9.366957314E0
5.570677280E-1,-4.070191383E0,2.218146563E0,7.944170952E0,9.197634706E0
5.594725720E-1,-4.137190342E0,2.328216314E0,7.537391186E0,8.907816849E0
5.618774160E-1,-4.211368084E0,2.380858421E0,7.101897717E0,8.593082051E0
5.642822600E-1,-4.335794449E0,2.323430777E0,6.943971157E0,8.509769651E0
