"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.147034120E0,8.449654579E0,-4.279563427E0,-3.354737282E0
5.166274225E0,7.905287743E0,-5.928217888E0,-3.279961586E0
5.185514329E0,8.947959900E0,-6.123831272E0,-2.088934183E0
5.204754433E0,9.971489906E0,-5.833701611E0,-5.054838061E-1
5.223994433E0,1.073121166E1,-5.306084156E0,1.969292998E0
5.243234537E0,1.198505020E1,-4.112065792E0,3.575475216E0
5.262474641E0,1.275434303E1,-1.847259045E0,5.281557560E0
5.281714641E0,1.347458267E1,1.608574986E0,6.537789822E0
5.300954745E0,1.168714428E1,6.461817741E0,2.660818815E0
5.320194850E0,1.197248840E1,9.888339996E0,3.669393539E0
5.339434850E0,1.573639774E1,1.063250732E1,1.006720352E1
5.358674954E0,1.758186340E1,1.076889801E1,1.890569115E1
5.377915058E0,1.514596939E1,1.107458115E1,2.430270386E1
5.397155058E0,8.687741280E0,1.179123211E1,2.205883408E1
5.416395162E0,4.475176334E0,1.341117287E1,1.683829308E1
5.435635266E0,3.600599766E0,1.310788250E1,1.279741383E1
5.454875266E0,2.398804665E0,1.139043427E1,9.896714211E0
5.474115370E0,1.914856315E0,9.692726135E0,7.396214962E0
5.493355475E0,-1.561316848E-1,8.719446182E0,4.847858906E0
5.512595475E0,-2.559721947E0,8.525627136E0,3.226721287E0
5.531835579E0,-4.578067780E0,8.732605934E0,3.542573929E0
5.551075683E0,-6.457630157E0,8.349754333E0,6.572485447E0
5.570315683E0,-8.001599312E0,7.585845947E0,1.006062317E1
5.589555787E0,-9.722038269E0,6.082555294E0,1.072582722E1
5.608795891E0,-9.698708534E0,5.160121918E0,1.061456108E1
5.628035891E0,-6.914659023E0,5.578866005E0,1.105125141E1
5.647275995E0,-2.135594130E0,6.428916454E0,1.313420391E1
5.666515995E0,9.092726111E-1,7.572087288E0,1.388614845E1
5.685756100E0,2.356332064E0,1.040877819E1,1.152981567E1
5.704996204E0,5.882156372E0,1.219083309E1,1.198624706E1
5.724236204E0,9.175876617E0,1.201735306E1,1.150588799E1
5.743476308E0,9.295517921E0,8.526225090E0,7.979465485E0
5.762716412E0,5.420939922E0,7.183851719E0,7.496713161E0
5.781956412E0,3.513859987E0,6.394818306E0,6.951149940E0
5.801196516E0,3.659224033E0,4.475774765E0,6.374479294E0
5.820436620E0,4.566701889E0,2.556730986E0,3.516851187E0
5.839676620E0,5.361717224E0,-5.030909777E-1,-3.768695593E-1
5.858916725E0,4.738387108E0,-2.967698336E0,-2.944368362E0
5.878156725E0,5.584847927E0,-3.782454491E0,-3.762115479E0
5.897396829E0,8.551349640E0,-4.099503517E0,-4.151547432E0
5.916636933E0,1.043091202E1,-4.223331928E0,-4.045066833E0
5.935876933E0,1.237747288E1,-3.768695593E0,-3.716651678E0
5.955117037E0,1.467039585E1,-2.362314224E0,-1.995614052E0
5.974357037E0,1.763869286E1,1.120439172E0,1.274776220E0
5.993597141E0,1.623530197E1,6.010770321E0,1.543370634E-1
6.012837245E0,1.282792187E1,1.152742290E1,-2.374876499E0
6.032077245E0,1.666242027E1,1.279322624E1,3.845864296E0
6.051317350E0,2.224487495E1,1.267837048E1,1.245284748E1
6.070557350E0,2.335634232E1,1.168834019E1,2.196790695E1
6.089797454E0,1.713978767E1,1.125703430E1,2.496671104E1
6.109037558E0,8.478966713E0,1.239362526E1,2.186322021E1
6.128277558E0,3.626322746E0,1.199821091E1,1.580279922E1
6.147517662E0,1.254437327E0,1.062054348E1,1.016949654E1
6.166757662E0,-1.980060786E-1,9.962516785E0,5.545964718E0
6.185997766E0,-1.473380566E0,8.949754715E0,2.557927370E0
6.205237870E0,-3.132802963E0,8.100900650E0,3.092125177E0
6.224477870E0,-5.039882660E0,7.241877556E0,5.660222054E0
6.243717975E0,-6.161518097E0,7.002595425E0,9.074181557E0
6.262957975E0,-6.604788780E0,7.116254330E0,1.098544884E1
6.282198079E0,-7.118647575E0,7.432106972E0,1.140658569E1
6.301438079E0,-7.609176159E0,6.449853420E0,1.081256771E1
6.320678183E0,-8.264211655E0,5.362315655E0,9.549755096E0
6.339918287E0,-5.829514027E0,5.375475883E0,9.359525681E0
6.359158287E0,-2.572284460E0,8.982656479E0,8.772088051E0
6.378398391E0,4.624129832E-1,1.655713654E1,8.560322762E0
6.397638391E0,1.179302597E1,2.006022835E1,1.123250771E1
6.416878495E0,1.873699760E1,1.818844223E1,1.610369682E1
6.436118495E0,1.998664856E1,1.259282780E1,1.760160255E1
6.455358600E0,1.913121605E1,9.466604233E0,1.797488403E1
6.474598600E0,1.882373810E1,5.583651543E0,1.512921906E1
6.493838704E0,1.574896049E1,1.895115495E0,1.173200989E1
6.513078704E0,1.053380394E1,2.895315289E-1,7.924430370E0
6.532318808E0,8.532207489E0,-1.188634634E0,3.393620729E0
6.551558912E0,7.400402069E0,-2.204986095E0,-8.344969153E-1
6.570798912E0,6.393621922E0,-2.222932339E0,-4.304687977E0
6.590039016E0,5.733801365E0,-2.639283419E0,-6.611369133E0
6.609279016E0,5.452046394E0,-3.196810961E0,-6.911069870E0
6.628519120E0,5.057828903E0,-3.450450182E0,-6.954140663E0
6.647759120E0,4.666004181E0,-3.407977581E0,-8.712865829E0
6.666999225E0,3.830310822E0,-2.536391973E0,-1.066839981E1
6.686239225E0,1.787438512E0,-1.614557028E0,-1.209153080E1
6.705479329E0,-2.169692039E0,-3.535395563E-1,-1.477627850E1
6.724719329E0,-1.789233088E0,6.035895348E-1,-1.694776535E1
6.743959433E0,3.594019651E0,1.287936807E0,-1.354756355E1
6.763199433E0,1.739462471E1,2.170290232E0,1.734796353E-2
6.782439537E0,3.347858047E1,6.687341213E0,1.737488365E1
6.801679537E0,3.127359390E1,1.357627773E1,2.566900444E1
6.820919641E0,2.399821663E1,1.790250015E1,2.203071785E1
6.840159641E0,2.160000992E1,1.894696808E1,1.668993759E1
6.859399745E0,1.593440437E1,1.769133377E1,1.041296577E1
6.878639745E0,1.008455086E1,1.532303810E1,4.555335999E0
6.897879850E0,6.141777515E0,1.313779259E1,8.003991842E-1
