"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.625945006E0,4.946019173E0,5.215258121E0,1.281823397E0
3.645185110E0,5.603615284E0,4.035372734E0,2.130314589E0
3.664425214E0,5.530769825E0,8.436042666E-1,2.221180677E0
3.683665318E0,5.505724430E0,-6.107120514E-1,1.577481985E0
3.702905318E0,4.393033981E0,-3.950767815E-1,6.317105293E-1
3.722145422E0,2.678794861E0,2.059072495E0,7.124210149E-2
3.741385527E0,1.014799118E0,4.698771954E0,-2.025780380E-1
3.760625631E0,-1.847866029E-1,5.806269646E0,-2.436586916E-1
3.779865735E0,-5.073232055E-1,5.405694962E0,1.068249792E-1
3.799105735E0,4.657844082E-2,4.347982883E0,5.446622968E-1
3.818345839E0,1.053436279E0,3.177565813E0,6.401099563E-1
3.837585943E0,1.874438524E0,2.291659117E0,4.151589870E-1
3.856826047E0,2.175747633E0,2.037234068E0,2.115882933E-1
3.876066152E0,2.342208385E0,2.432769060E0,2.850447893E-1
3.895306152E0,2.593884468E0,2.957043648E0,5.698604584E-1
3.914546256E0,3.022864342E0,3.049589634E0,8.456659317E-1
3.933786360E0,3.668395758E0,2.913672209E0,1.103145480E0
3.953026464E0,3.905716658E0,2.802800417E0,1.581147075E0
3.972266464E0,3.200167894E0,2.968650103E0,2.118708134E0
3.991506568E0,1.866039157E0,2.540586710E0,2.120388031E0
4.010746672E0,1.180038095E0,2.640615702E0,1.795713425E0
4.029986777E0,1.260824919E0,3.641365051E0,1.641775489E0
4.049226881E0,1.390328288E0,4.377304077E0,1.931936264E0
4.068466881E0,1.550985694E0,4.348441124E0,2.263330460E0
4.087706985E0,1.755319953E0,3.656789303E0,2.352822065E0
4.106947089E0,1.915824652E0,3.163668633E0,2.044946194E0
4.126187193E0,1.904676437E0,3.395339251E0,1.688201189E0
4.145427193E0,1.769675255E0,4.013687134E0,1.518533468E0
4.164667297E0,1.749364018E0,4.578279018E0,1.389030099E0
4.183907402E0,2.117257357E0,4.608516693E0,1.223180413E0
4.203147506E0,2.999193430E0,4.427547932E0,8.097776175E-1
4.222387506E0,3.642433882E0,3.362810612E0,6.515636444E-1
4.241627610E0,3.776518822E0,1.361159444E0,5.238928795E-1
4.260867714E0,4.105316639E0,5.589412451E-1,2.367864549E-1
4.280107818E0,4.346913815E0,1.750127554E0,-6.072759628E-1
4.299347818E0,3.907396555E0,3.604102135E0,-1.315879107E0
4.318587922E0,2.988350391E0,5.278940678E0,-1.084208608E0
4.337828027E0,2.013104916E0,6.080853462E0,-2.569449842E-1
4.357068131E0,1.344818830E0,5.591398239E0,3.472002745E-1
4.376308235E0,9.118683934E-1,4.242455959E0,5.051088333E-1
4.395548235E0,5.328267813E-1,3.094640970E0,3.578903973E-1
4.414788339E0,7.177661173E-3,2.731940031E0,3.187950552E-1
4.434028443E0,-8.006910086E-1,2.747669697E0,4.948768318E-1
4.453268547E0,-1.763413906E0,2.634659767E0,8.459713459E-1
4.472508547E0,-2.698647976E0,2.230114698E0,1.087262988E0
4.491748652E0,-3.297448158E0,1.823889494E0,1.138880968E0
4.510988756E0,-3.327991247E0,1.493258953E0,1.046793103E0
4.530228860E0,-3.117243052E0,9.114102721E-1,8.155808449E-1
4.549468860E0,-3.100444078E0,-1.209512278E-1,6.164389253E-1
4.568708964E0,-3.417177677E0,-1.128267288E0,6.575195789E-1
4.587949068E0,-3.913810730E0,-1.687208533E0,5.874228477E-1
4.607189068E0,-4.148382664E0,-1.773340464E0,2.871828079E-1
4.626429172E0,-3.742615700E0,-1.789070249E0,-5.115992390E-3
4.645669277E0,-2.578613043E0,-2.091142893E0,-2.599993348E-1
4.664909381E0,-9.547816515E-1,-1.789222956E0,-3.685805500E-1
4.684149381E0,6.843212843E-1,-8.310815096E-1,-5.526035428E-1
4.703389485E0,1.614515662E0,-3.840812445E-1,-6.230056882E-1
4.722629589E0,1.317024469E0,-9.254601598E-1,-6.538543701E-1
4.741869693E0,2.344193608E-1,-1.346651435E0,-7.854957581E-1
4.761109693E0,-7.304415703E-1,-1.127503633E0,-8.986584544E-1
4.780349797E0,-1.210886717E0,-6.633991599E-1,-1.033659577E0
4.799589902E0,-1.440113664E0,1.385135949E-1,-1.246698618E0
4.818829902E0,-1.608865142E0,9.897536635E-1,-1.312519312E0
4.838070006E0,-1.453094602E0,1.709352374E0,-1.045724154E0
4.857310110E0,-6.806560755E-1,2.119853497E0,-5.997928381E-1
4.876550214E0,6.455313563E-1,2.327089310E0,-2.789361179E-1
4.895790214E0,2.167500973E0,2.601825714E0,-2.817613818E-2
4.915030318E0,3.400989771E0,2.676351309E0,1.766162813E-1
4.934270422E0,4.063014507E0,2.203389168E0,3.313177824E-1
4.953510422E0,4.235583782E0,1.065042734E0,2.688568532E-1
4.972750527E0,4.219548702E0,2.854265571E-1,1.000291109E-2
4.991990631E0,4.263836384E0,6.889027357E-1,-2.541961074E-1
5.011230735E0,3.974133492E0,1.605658054E0,-4.032471180E-1
5.030470735E0,3.068221092E0,2.644128084E0,-2.877936661E-1
5.049710839E0,2.107941628E0,3.563632488E0,2.951240540E-1
5.068950943E0,1.671478748E0,3.526216984E0,1.013195634E0
5.088190943E0,1.812130332E0,2.859152555E0,1.426903725E0
5.107431047E0,2.029292822E0,2.149174929E0,1.543273449E0
5.126671152E0,1.635590434E0,1.408806920E0,1.354668975E0
5.145911152E0,3.597993553E-1,1.155756116E0,9.895246029E-1
5.165151256E0,-1.196073294E0,1.596189618E0,9.835686684E-1
5.184391360E0,-2.307847023E0,1.832594395E0,1.130787015E0
5.203631464E0,-2.891070366E0,1.362839341E0,8.591049314E-1
5.222871464E0,-2.790888548E0,4.098902643E-1,5.469530225E-1
5.242111568E0,-2.164141178E0,-1.017089844E0,2.830594778E-1
5.261351672E0,-1.510210395E0,-2.540128469E0,3.962985426E-2
5.280591672E0,-8.994984031E-1,-3.542099476E0,-1.605810821E-1
