"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.885000635E0,2.697907388E-1,7.811369419E0,5.389832973E0
3.904239698E0,7.357929647E-2,8.159524918E0,5.167300701E0
3.923478760E0,1.651047617E-1,8.237292290E0,5.291727066E0
3.942717823E0,8.356932998E-1,8.221140862E0,5.699105263E0
3.961956885E0,1.046859860E0,8.222934723E0,6.023332596E0
3.981195948E0,6.807580590E-1,8.381459236E0,5.944369793E0
4.000435010E0,6.580262631E-2,8.750552177E0,5.713462353E0
4.019674073E0,-2.548356056E-1,8.916254997E0,5.828916073E0
4.038913031E0,8.973085135E-2,8.666205406E0,6.753741741E0
4.058152094E0,6.843472719E-1,8.319246292E0,8.038687706E0
4.077391156E0,9.667003751E-1,8.511270523E0,8.612964630E0
4.096630219E0,1.256231815E-1,9.461818695E0,7.470392227E0
4.115869281E0,-6.831508875E-1,1.038724327E1,4.858027935E0
4.135108344E0,-9.726824164E-1,1.046022415E1,4.327419758E0
4.154347406E0,2.033899166E-2,8.968897820E0,5.693721294E0
4.173586469E0,1.426720500E0,7.428517818E0,7.131807804E0
4.192825531E0,1.961516380E0,6.714858532E0,7.951349735E0
4.212064594E0,7.686942816E-1,6.702894211E0,7.468597889E0
4.231303656E0,-8.297112584E-1,6.939185619E0,6.295516491E0
4.250542615E0,-1.741974831E0,7.076174736E0,5.609972477E0
4.269781677E0,-1.744965911E0,6.928418159E0,5.769693375E0
4.289020740E0,-1.279561877E0,6.660421848E0,6.050251961E0
4.308259802E0,-1.059422255E0,6.471987247E0,5.994020939E0
4.327498865E0,-8.596215248E-1,6.431309223E0,5.929414749E0
4.346737927E0,-5.569294691E-1,6.372086525E0,6.068198204E0
4.365976990E0,-1.657029688E-1,6.389434814E0,6.134599209E0
4.385216052E0,1.926222295E-1,6.454638958E0,6.083751678E0
4.404455115E0,1.794617027E-1,6.550352097E0,5.741578102E0
4.423694177E0,3.529413417E-2,6.626922131E0,5.626722336E0
4.442933240E0,-3.152543902E-1,6.766902447E0,5.392824173E0
4.462172302E0,-5.509474277E-1,6.979863644E0,5.303691387E0
4.481411260E0,-6.454638839E-1,7.297510624E0,5.402993679E0
4.500650323E0,-7.465606928E-1,7.627720356E0,5.547759533E0
4.519889385E0,-6.418746710E-1,7.850851059E0,5.706283569E0
4.539128448E0,-3.320041299E-1,7.923832417E0,6.039484501E0
4.558367510E0,-3.158525825E-1,7.984251022E0,6.486942291E0
4.577606573E0,-5.569294691E-1,8.254041672E0,6.506084919E0
