"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.038652146E0,3.397935256E-2,-9.598212689E-2,-3.879754841E-1
6.057891208E0,6.032289471E-3,-6.238456443E-2,-2.997055352E-1
6.077130271E0,-6.337722298E-3,-5.001455545E-2,-2.123518735E-1
6.096369333E0,2.145662531E-2,-1.546251476E-1,-1.741728187E-1
6.115608396E0,5.871937796E-2,-2.725220621E-1,-1.709657758E-1
6.134847458E0,4.451677203E-2,-2.874882221E-1,-1.929569095E-1
6.154086521E0,-3.168861195E-2,-2.076176703E-1,-2.016617358E-1
6.173325583E0,-1.446985900E-1,-2.695440874E-2,-1.714239269E-1
6.192564646E0,-2.073122412E-1,1.439350098E-1,-1.399643868E-1
6.211803708E0,-1.941786408E-1,2.355647236E-1,-9.903645515E-2
6.231042771E0,-1.416442692E-1,2.314413935E-1,-2.588539571E-2
6.250281833E0,-6.971494108E-2,1.854738146E-1,3.794997558E-2
6.269520896E0,3.917170316E-2,1.277471036E-1,5.566505343E-2
6.288759958E0,1.766162813E-1,7.689260691E-2,6.513345987E-2
6.307999021E0,2.541961074E-1,2.619082667E-2,6.910407543E-2
6.327238083E0,2.561814189E-1,5.062541738E-2,7.124210149E-2
6.346477146E0,2.008981556E-1,1.367573589E-1,7.078395784E-2
6.365716208E0,1.479056329E-1,2.648862302E-1,7.719803602E-2
6.384955271E0,1.098793000E-1,3.659843504E-1,4.864010960E-2
6.404194333E0,1.085048541E-1,3.901135325E-1,4.528035223E-2
6.423433396E0,8.681915700E-2,3.638463318E-1,9.842558950E-2
6.442672458E0,1.169042438E-1,3.552942276E-1,1.640935540E-1
6.461911521E0,2.879463732E-1,4.183660150E-1,1.909715980E-1
6.481150583E0,5.515345335E-1,4.799106419E-1,2.024253160E-1
6.500389646E0,5.619192123E-1,1.195004210E-1,1.886808574E-1
6.519628708E0,2.134208828E-1,-3.869064748E-1,2.212094069E-1
6.538867771E0,-1.034652218E-1,-2.690095901E-1,3.632354736E-1
6.558106833E0,-2.273180634E-1,1.848629564E-1,4.116465151E-1
6.577345896E0,-1.647044122E-1,5.225184560E-1,3.389535844E-1
6.596584958E0,-6.498073786E-2,6.498837471E-1,3.001636863E-1
6.615824021E0,8.559742570E-2,6.776781082E-1,3.435350657E-1
6.635063083E0,1.966221035E-1,4.800633490E-1,3.823249936E-1
6.654302146E0,2.491564751E-1,1.720348001E-1,3.956113160E-1
6.673541208E0,2.468657345E-1,-4.680751264E-2,4.243219495E-1
