"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.019602883E0,7.208377868E-2,7.399205685E0,6.352644920E0
9.067701216E0,1.055833027E-1,7.391428947E0,6.476174355E0
9.115799446E0,-2.093719784E-3,7.331907749E0,6.642475605E0
9.163897779E0,-9.212367237E-2,7.356134892E0,6.590132713E0
9.211996112E0,-2.261217386E-1,7.382156849E0,6.586244106E0
9.260094341E0,-3.029911816E-1,7.407281399E0,6.451049805E0
9.308192675E0,-2.294118702E-1,7.328916550E0,6.716952324E0
9.356291008E0,-1.199402362E-1,7.338488102E0,6.515954971E0
9.404389237E0,-9.960123897E-2,7.347760201E0,6.502794743E0
9.452487571E0,-3.002992272E-1,7.334001541E0,6.525825500E0
9.500585904E0,-1.618146300E-1,7.365108013E0,6.384948254E0
9.548684133E0,-4.995017126E-2,7.349554539E0,6.490232468E0
9.596782466E0,-7.268198580E-2,7.303493023E0,6.682256222E0
9.644880800E0,1.615155302E-2,7.325028419E0,6.600003242E0
9.692979029E0,-7.477570791E-3,7.314260483E0,6.649055958E0
9.741077362E0,-1.764706708E-2,7.352844715E0,6.610471725E0
9.789175696E0,-1.812563092E-1,7.332505703E0,6.648457527E0
9.837273925E0,-2.617149651E-1,7.355835915E0,6.754340172E0
9.885372258E0,-2.587239444E-1,7.376473904E0,6.394519329E0
9.933470591E0,-2.440679073E-1,7.321439266E0,6.418447495E0
9.981568821E0,-1.642074585E-1,7.286743164E0,6.482156754E0
1.002966715E1,-1.399801224E-1,7.275078297E0,6.590730667E0
1.007776549E1,-1.588236094E-1,7.395616531E0,6.567400932E0
1.012586372E1,-1.677966863E-1,7.378866673E0,6.623931408E0
1.017396205E1,-1.704886109E-1,7.399505138E0,6.692724705E0
1.022206038E1,-1.357926875E-1,7.364809036E0,6.557231426E0
1.027015861E1,-3.379862010E-2,7.316653252E0,6.623332977E0
1.031825695E1,-1.154536903E-1,7.321139812E0,6.507580280E0
1.036635528E1,1.286142133E-2,7.336394310E0,6.382256031E0
1.041445351E1,-1.725823283E-1,7.340282440E0,6.640082836E0
1.046255184E1,-2.898306549E-1,7.345367432E0,6.605985165E0
1.051065018E1,-1.172483116E-1,7.359724045E0,6.528218269E0
1.055874840E1,-2.075773627E-1,7.322635651E0,6.594020844E0
1.060684674E1,-1.265204996E-1,7.379166126E0,6.537789822E0
1.065494507E1,-1.980060786E-1,7.371089935E0,6.628118515E0
1.070304330E1,-1.202393398E-1,7.398607731E0,6.462415695E0
1.075114163E1,-1.375873089E-1,7.341778278E0,6.600003242E0
1.079923997E1,-8.434699476E-2,7.412366390E0,6.460920334E0
1.084733820E1,-3.678964823E-2,7.343273640E0,6.591329098E0
1.089543653E1,-1.277169138E-1,7.412665367E0,6.566802502E0
1.094353486E1,-8.434699476E-2,7.395616531E0,6.383452415E0
1.099163309E1,-8.703892678E-2,7.393223763E0,6.451049805E0
1.103973143E1,-1.283151209E-1,7.398906708E0,6.528218269E0
1.108782976E1,-1.564307809E-1,7.431509018E0,6.401398659E0
1.113592799E1,-9.990034252E-2,7.432705402E0,6.508477688E0
1.118402632E1,-1.435693651E-1,7.401598454E0,6.622136593E0
1.123212465E1,-9.511470050E-2,7.410272598E0,6.457331181E0
1.128022288E1,-1.277169138E-1,7.441379547E0,6.500999928E0
1.132832122E1,-1.184447184E-1,7.421339512E0,6.433103561E0
1.137641945E1,-1.136590764E-1,7.368398190E0,6.516553402E0
1.142451778E1,-9.152546525E-2,7.387241840E0,6.317051888E0
1.147261611E1,-1.286142170E-1,7.341778278E0,6.538986206E0
1.152071434E1,-1.704886109E-1,7.373782158E0,6.584449768E0
1.156881268E1,-1.070788130E-1,7.336992264E0,6.492625237E0
1.161691101E1,-1.833500415E-1,7.345965385E0,6.647859573E0
1.166500924E1,-1.597209126E-1,7.387241840E0,6.713662148E0
1.171310757E1,-4.426721856E-2,7.441678524E0,6.390631199E0
1.176120590E1,-9.122636169E-2,7.393223763E0,6.476772785E0
1.180930413E1,-2.811566554E-2,7.357331276E0,6.461219311E0
1.185740247E1,-2.602194622E-2,7.317550659E0,6.608377934E0
1.190550080E1,-8.315058798E-2,7.342077255E0,6.565307140E0
1.195359903E1,-1.091725305E-1,7.397710323E0,6.490232468E0
1.200169736E1,-1.016949639E-1,7.393223763E0,6.473781586E0
1.204979570E1,-4.336991161E-2,7.365406990E0,6.466902256E0
1.209789393E1,-1.674975827E-2,7.333104134E0,6.629913330E0
1.214599226E1,2.991028305E-4,7.394420147E0,6.447460651E0
1.219409005E1,-8.315058798E-2,7.289434910E0,6.851847649E0
1.224218828E1,-1.172483116E-1,7.372286797E0,6.600003242E0
1.229028661E1,-1.992024779E-1,7.397411346E0,6.461219311E0
1.233838494E1,-8.165507019E-2,7.326523781E0,6.556035042E0
1.238648317E1,-1.824527234E-2,7.316653252E0,6.527021885E0
1.243458151E1,-7.716853172E-2,7.287939548E0,6.669394970E0
