"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.688285344E1,2.356930375E-1,5.697908878E0,7.990232944E0
1.693285344E1,1.130608693E-1,5.702694416E0,8.277371407E0
1.698285344E1,8.434699476E-2,5.713462353E0,8.096714020E0
1.703285344E1,8.434699476E-2,5.713462353E0,8.096714020E0
1.708285344E1,1.561316848E-1,5.769095421E0,8.093124390E0
1.713285344E1,1.561316848E-1,5.769095421E0,8.093124390E0
1.718285344E1,2.159522474E-1,5.651248932E0,8.035098076E0
1.723285344E1,2.177468538E-1,5.768496990E0,7.948358536E0
1.728285344E1,2.177468538E-1,5.768496990E0,7.948358536E0
1.733285344E1,5.922235921E-2,5.699703693E0,8.021938324E0
1.738285344E1,2.374876440E-1,5.778068542E0,7.876574039E0
1.743285344E1,2.147558331E-1,5.699105263E0,8.189435959E0
1.748285344E1,1.884347796E-1,5.721837044E0,7.884948730E0
1.753285344E1,1.884347796E-1,5.721837044E0,7.884948730E0
1.758285344E1,1.459621787E-1,5.722435474E0,8.034500122E0
1.763285344E1,1.328016520E-1,5.706882000E0,7.963313580E0
1.768285344E1,1.567298770E-1,5.715855122E0,8.014759064E0
1.773285344E1,2.039881349E-1,5.755934715E0,8.050651550E0
1.778285344E1,1.112662554E-1,5.702096462E0,8.103293419E0
1.783285344E1,1.764706671E-1,5.699105263E0,7.932207108E0
1.788285344E1,1.268195957E-1,5.719444275E0,8.006982803E0
1.793285344E1,1.268195957E-1,5.719444275E0,8.006982803E0
1.798285344E1,1.268195957E-1,5.719444275E0,8.006982803E0
1.803285344E1,3.589234129E-2,5.733202934E0,8.053044319E0
1.808285344E1,1.328016520E-1,5.736792088E0,8.032107353E0
1.813285344E1,9.930214286E-2,5.665606022E0,8.026124954E0
1.818285344E1,9.930214286E-2,5.665606022E0,8.026124954E0
1.823285344E1,9.930214286E-2,5.665606022E0,8.026124954E0
1.828285344E1,2.919243574E-1,5.663811207E0,7.972286701E0
1.833285344E1,2.919243574E-1,5.663811207E0,7.972286701E0
1.838285344E1,2.919243574E-1,5.663811207E0,7.972286701E0
1.843285344E1,6.460621208E-2,5.733801365E0,8.093722343E0
1.848285344E1,1.184447184E-1,5.745167255E0,8.073383331E0
1.853285344E1,1.184447184E-1,5.745167255E0,8.073383331E0
1.858285344E1,1.208375469E-1,5.700301647E0,7.958528042E0
1.863285344E1,1.806581169E-1,5.684150219E0,8.041678429E0
1.868285344E1,2.518445849E-1,5.667400360E0,8.029116631E0
1.873285344E1,1.531406492E-1,5.720640659E0,8.036294937E0
